Column Name,Total Frequency (Sheets),Number of Files,Example Files (up to 3),Normalized Name
Organism,716,42,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",organism
Owner,708,43,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",owner
Tube,708,41,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",tube
Lab group,707,42,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",labgroup
Biosafety #,706,41,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",biosafety#
GMO? Yes/No,706,41,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",gmo?yes/no
Sample information,699,43,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",sampleinformation
Project information,662,41,"rack B6 -80C freezer 2.xlsx, rack B3 -80C freezer 2.xlsx, rack 2A -80C freezer 3.xlsx",projectinformation
Comments,76,8,"rack C1 -80C freezer 2_LV.xlsx, rack 2A -80C freezer 3.xlsx, rack B2 -80C freezer 3_VictoriaBarja.xlsx",comments
Marker,68,8,"rack C1 -80C freezer 2_LV.xlsx, rack 2A -80C freezer 3.xlsx, rack B2 -80C freezer 3_VictoriaBarja.xlsx",marker
Tube number,52,6,"rack B2 -80C freezer 3_VictoriaBarja.xlsx, Rack C2 -80oC freezer 3-Dayane-Costa-Williams.xlsx, -80C freezer 1_rack D2_VictoriaBarja.xlsx",tubenumber
Sequencing,37,7,"rack C1 -80C freezer 2_LV.xlsx, -80 freezer 1_rack D1_EA&JP.xlsx, rack B2 -80C freezer 3_VictoriaBarja.xlsx",sequencing
vector,37,3,"rack A1 -80C freezer 2.xlsx, rack A1 -80C freezer 3 .xlsx, RackB1 -80C Freezer 1.xlsx",vector
Vector,25,4,"rack B5 -80C freezer 2.xlsx, rack A2 -80C freezer 2.xlsx, rack A1 -80C freezer 3 .xlsx",vector
NLRD,20,8,"BLANK TEMPLATE - PC2 Lab Sample Recording Template for -80 Freezers_May 2025.xlsx, -80C Freezers_1_Rack_D3_KM.csv.xlsx, -80 freezer 1_rack D1_EA&JP.xlsx",nlrd
Shelf,18,7,"BLANK TEMPLATE - PC2 Lab Sample Recording Template for -80 Freezers_May 2025.xlsx, -80C Freezers_1_Rack_D3_KM.csv.xlsx, -80 freezer 1_rack D1_EA&JP.xlsx",shelf
